passing_yards,passing_epa,passing_cpoe,pacr,roof,surface,temp,wind,is_home,def_tackles_solo_y,def_tackles_with_assist_y,def_tackle_assists_y,def_tackles_for_loss_y,def_tackles_for_loss_yards_y,def_fumbles_forced_y,def_sacks_y,def_sack_yards_y,def_qb_hits_y,def_interceptions_y,def_interception_yards_y,def_pass_defended_y,def_tds_y,def_fumbles_y,def_safeties_y,comp_percent,avg_time_to_throw,aggressiveness,passer_rating,expected_completion_percentage,completion_percentage_above_expectation,cumulative_avg,def_recent_avg_allowed,def_5game_avg_allowed,def_trend,def_consistency
287,-0.3256324429139474,2.388444874021742,0.8130311614730878,outdoors,fieldturf,62.0,4.0,1,40,2,34,6,18,1,4.0,11.0,9,1,0,4,0,0,0,0.6521739130434783,2.804782608695652,21.73913043478261,80.61594202898551,63.59043478260868,1.626956521739146,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
233,1.364757596165873,-1.2890843481853091,0.8351254480286738,outdoors,grass,68.0,5.0,1,31,1,39,3,14,0,3.0,21.0,5,0,0,3,0,0,0,0.6333333333333333,2.7330666666666668,10.0,98.33333333333334,64.88466666666667,-1.5513333333333463,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
298,9.624095207309598,-5.938342639378139,1.0347222222222223,closed,fieldturf,,,1,41,2,34,7,18,0,1.0,9.0,4,0,0,6,0,0,0,0.6428571428571429,2.5588333333333333,26.190476190476193,93.15476190476193,64.2864285714286,-0.0007142857143094,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
210,-6.988247807139811,-6.66688496575636,0.7984790874524715,outdoors,grass,68.0,6.0,1,40,1,25,6,23,1,2.0,12.0,3,0,0,3,0,0,0,0.6,3.0362857142857145,5.714285714285714,86.60714285714285,73.5414285714286,-13.541428571428597,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
143,-9.816290898994502,-3.2609406113624573,1.2222222222222223,outdoors,grass,68.0,6.0,0,34,4,22,6,15,0,3.0,9.0,5,1,74,5,1,0,0,0.65,2.9446,10.0,98.54166666666669,66.733,-1.733000000000004,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
112,-13.389458418787804,-12.597031831741331,0.3809523809523809,outdoors,grass,84.0,6.0,0,30,6,26,7,51,2,6.0,50.0,14,0,0,4,0,1,0,0.42857142857142855,2.8931428571428577,21.428571428571427,54.46428571428571,53.33214285714286,-10.475000000000009,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
203,-7.686599437611664,-6.433451278456326,1.0740740740740742,outdoors,grass,79.0,5.0,1,35,5,23,2,14,0,3.0,20.0,8,2,28,5,0,0,0,0.5454545454545454,2.872818181818182,15.151515151515152,58.01767676767676,58.09575757575757,-3.550303030303027,240.0,240.0,240.0,0.0,52.32590180780452
199,-26.738699900731607,-3.0992530678447925,0.6482084690553745,outdoors,grass,82.0,3.0,0,41,3,27,7,22,1,2.0,11.0,9,1,61,5,0,0,0,0.5555555555555556,2.8713555555555565,15.555555555555555,64.9537037037037,56.68355555555556,-1.128,296.5,296.5,296.5,0.0,137.88582233137677
298,9.779970589626965,10.765356570482254,1.1374045801526718,outdoors,grass,83.0,3.0,0,34,2,26,2,9,0,1.0,8.0,6,1,0,4,0,0,0,0.696969696969697,2.6699090909090915,21.21212121212121,105.36616161616162,60.24939393939393,9.44757575757577,176.0,176.0,176.0,0.0,79.883428127305
56,5.397247545304708,1.5594455328854648,0.7088607594936709,outdoors,fieldturf,80.0,3.0,1,31,2,20,5,37,3,4.0,29.0,7,0,0,4,0,0,0,0.6363636363636364,,,,,,132.5,132.5,132.5,0.0,108.18733752154178
